"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @HillaryClinton: Carter.
Bush.
Clinton.
Bush.
Obama.

Not one of them believes Donald Trump has what it takes to be president. https://t…",FALSE,0,NA,2016-10-18 21:10:08,FALSE,NA,"788487349256671232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tommy8668",11952,TRUE,FALSE,NA,NA
"2","RT @WalshFreedom: In the words of Donald Trump we need to DRAIN THE SWAMP! https://t.co/hBOZrt15sa",FALSE,0,NA,2016-10-18 21:10:07,FALSE,NA,"788487348644417536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cassidyphoenyx",195,TRUE,FALSE,NA,NA
"3","Matthew Shepard's mom says Donald Trump's campaign 'terrifies' her https://t.co/lXlO5BdUI7 @MattShepardFDN @Rosie… https://t.co/Wwnb3L93tw",FALSE,1,NA,2016-10-18 21:10:07,TRUE,NA,"788487346714845184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greghernandez",1,FALSE,FALSE,NA,NA
"4","I think I heard one of those beauty girl says donald trump forcibly kissed her several times.she must have been feeling that magic!.",FALSE,0,NA,2016-10-18 21:10:07,FALSE,NA,"788487346672902144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","neltonpargo",0,FALSE,FALSE,NA,NA
"5","Michael Moore made a secret movie about Donald Trump, and now he's premiering it https://t.co/6MNxsbgyNX this asshole predicted Trump win,",FALSE,0,NA,2016-10-18 21:10:07,FALSE,NA,"788487346094125056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bob312d",0,FALSE,FALSE,NA,NA
"6","Michael Moore Reveals Surprise Donald Trump Film https://t.co/GoYcU7ZB4K via @YahooMovies",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487343913271296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kraftycat2",0,FALSE,FALSE,NA,NA
"7","RT @zachhaller: Whoa

Trump makes his case stronger 

announcing he'll push for a constitutional amendment to impose term limits on all mem…",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487343783026689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fanning_donald",456,TRUE,FALSE,NA,NA
"8","RT @Pamela_Moore13: Donald Trump Chatter Breaking All Records On Facebook""
https://t.co/97QZA2YkhT

#EvangelicalTrump https://t.co/DNC9FcOM…",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487343556685828",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","richfintx",65,TRUE,FALSE,NA,NA
"9","RT @SavedYouAClick: &gt; says fuck donald trump
&gt; can’t bring themselves to not spell it F*CK

~~~~edgyyyy~~~~ https://t.co/y48rDPfYvs",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487343456083969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hwstrbk",169,TRUE,FALSE,NA,NA
"10","RT @LawyerRogelio: BOYCOTT PAYPAL  I HAVE ! Peter Thiel faces Silicon Valley backlash for Donald Trump donation | Daily Mail Online https:/…",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487343158067201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeannie_Hartley",152,TRUE,FALSE,NA,NA
"11","RT @brianstelter: Refuting Trump's voter fraud lies is not ""anti-Trump."" It is pro-Democracy https://t.co/Wt2dlOuNY6",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487341555855360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lyralong2",1698,TRUE,FALSE,NA,NA
"12","RT @voxdotcom: President Obama didn't hold back when responding to Donald Trump's claims that the election is ""rigged."" https://t.co/am0ZIZ…",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487341514063872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Davi_rocha",541,TRUE,FALSE,NA,NA
"13","US election 2016: Stop whining, Obama tells Donald Trump https://t.co/O4b4mPrt1R",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487341140738048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","seamuskearney_",0,FALSE,FALSE,NA,NA
"14","RT @shadirahimi: A new billboard in Dearborn, Michigan says in Arabic: ""Donald Trump: He can't read this, but he's afraid of it."" https://t…",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487341098823680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katiaanajjar",23397,TRUE,FALSE,NA,NA
"15","Jemima Khan news donald trump Jemima Khan halloween by jhonmandy https://t.co/6UWVGyFino",FALSE,0,NA,2016-10-18 21:10:06,FALSE,NA,"788487340549341184",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","datebi6",0,FALSE,FALSE,NA,NA
"16","#dc Donald Trump pledges to 'drain the swamp in Washington' with ethics reform https://t.co/HNnNmGJzOr",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487340171759617",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","DC_NewsAlerts",0,FALSE,FALSE,NA,NA
"17","It's 5:10 PM in Washington DC and Donald Trump is still a major threat to the free world.
And he has small hands.
#DumpTrump",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487339681144832",NA,"<a href=""http://www.example.com/"" rel=""nofollow"">AntiTrumpBot</a>","AntiTrumpBot",0,FALSE,FALSE,NA,NA
"18","https://t.co/4LaDuNhAtc

#Trump = #WhinyLIttleBitch",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487339370622977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kenluskin1",0,FALSE,FALSE,NA,NA
"19","RT @WalshFreedom: In the words of Donald Trump we need to DRAIN THE SWAMP! https://t.co/hBOZrt15sa",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487338984734720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JOC_ME_21",195,TRUE,FALSE,NA,NA
"20","RT @PoliticsNewz: Bruce Springsteen slams Donald Trump: 'He's such a flagrant, toxic narcissist' https://t.co/FxC2t11k7j",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487338775019520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ConnieS29582868",16,TRUE,FALSE,NA,NA
"21","Herschel Walker -- I Still Stand With Trump ... 'Everybody Does Stupid Things' (VIDEO)  https://t.co/O2VK9YUCyq via @TMZ",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487338745860102",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bm_mays",0,FALSE,FALSE,NA,NA
"22","RT @IngrahamAngle: SHAMELESS MEDIA: One big reason the WikiLeaks emails aren't as damaging for Hillary Clinton: Donald Trump https://t.co/z…",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487338724843525",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prodigalson52",770,TRUE,FALSE,NA,NA
"23","RT @NTelevisa_com: #EnTuCaraTrump ‘Sin su abuelo inmigrante, usted no existiría y ciertamente no sería quien es hoy’, @LeonKrauze a Donald…",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487338275901441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salvadortriano",402,TRUE,FALSE,NA,NA
"24","RT @MSNBC: Donald Trump claims that ""voter fraud is very, very common."" Here is what experts have to say: https://t.co/beW2Q6KSm1 #Decision…",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487337382514688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bluegigi",398,TRUE,FALSE,NA,NA
"25","""A third of pro-Trump tweets are generated by bots"" (#TrumpBots) https://t.co/8T4UATh2Ib",FALSE,0,NA,2016-10-18 21:10:05,FALSE,NA,"788487336912912388",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","exworld",0,FALSE,FALSE,NA,NA
"26","Mrs. Trump says Donald didn't know mike was on with Billy Bush. What? That means he was speaking the truth freely,… https://t.co/cIXe6iBGCK",FALSE,0,NA,2016-10-18 21:10:05,TRUE,NA,"788487336745050112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BobEmery",1,FALSE,FALSE,NA,NA
"27","RT @elnacionalcat: El periodista que s'ha carregat Donald Trump (amb una llibreta, una pregunta i paciència). Per @ampique https://t.co/j4x…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487336074108928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilMenssaggero",5,TRUE,FALSE,NA,NA
"28","@TeamTrump @realDonaldTrump you should be locked in a mental hospital, Donald Trump. You have completely lost your mind",FALSE,4,"TeamTrump",2016-10-18 21:10:04,FALSE,"788445970539253761","788487335973269505","729676086632656900","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheChoons",1,FALSE,FALSE,NA,NA
"29","⚡️ “Resurfaced Donald Trump Jr. interviews spark outrage”

https://t.co/CO0SyVZRA2",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487335822393346",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PEARLfectChassi",0,FALSE,FALSE,NA,NA
"30","RT @LawyerRogelio: HE SUPPORTS RACISM Peter Thiel faces Silicon Valley backlash for Donald Trump donation https://t.co/Z7lMV1T0KB via @Mail…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487335604346880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","harmonicajean",41,TRUE,FALSE,NA,NA
"31","RT @ehananoki: Reminder: Donald Trump was asked to denounce anti-Semitic threats; instead he justified them https://t.co/nfkKQuamkU",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487334689845248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Whhay",106,TRUE,FALSE,NA,NA
"32","RT @voxdotcom: President Obama didn't hold back when responding to Donald Trump's claims that the election is ""rigged."" https://t.co/am0ZIZ…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487334371074048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isaac_arv",541,TRUE,FALSE,NA,NA
"33","RT @NewsHour: Here are 5 important stories that have nothing to do with Donald Trump or Hillary Clinton https://t.co/z7fOhGkjDZ (by @Josh_B…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487334299709441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoAnnLaGasse",24,TRUE,FALSE,NA,NA
"34","RT @HillaryClinton: Carter.
Bush.
Clinton.
Bush.
Obama.

Not one of them believes Donald Trump has what it takes to be president. https://t…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487334249566208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Stacey4UHoos",11952,TRUE,FALSE,NA,NA
"35","RT @MeetThePress: .@BarackObama: @realDonaldTrump should ""stop whining and try to go make his case to get votes."" https://t.co/ketKiEPxoM #…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487334228529152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frosty8556",17,TRUE,FALSE,NA,NA
"36","RT @HillaryClinton: Carter.
Bush.
Clinton.
Bush.
Obama.

Not one of them believes Donald Trump has what it takes to be president. https://t…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487333595099137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Realtor_Debbie",11952,TRUE,FALSE,NA,NA
"37","RT @JamillaTweets: A billboard in Arabic has been put up in Michigan which says ""Donald Trump can't read this but it still scares him"" http…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487332823379968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lexhola",65976,TRUE,FALSE,NA,NA
"38","RT @tragicgay: Whenever I see news about how SNL or John Oliver or John Stewart ""destroyed"" Donald Trump my mind instinctively goes to this…",FALSE,0,NA,2016-10-18 21:10:04,FALSE,NA,"788487332760465408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anylaurie16",7456,TRUE,FALSE,NA,NA
"39","Racism and bigotry are the drivers! https://t.co/jRmZ9mMVUG",FALSE,0,NA,2016-10-18 21:10:03,FALSE,NA,"788487331661565952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MickihallJ",0,FALSE,FALSE,NA,NA
"40","Where Donald Trump stands on immigration https://t.co/6NxUjv9rjb",FALSE,0,NA,2016-10-18 21:10:03,FALSE,NA,"788487331246321664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grooveechk",0,FALSE,FALSE,NA,NA
"41","RT @CNNPolitics: Donald Trump's super PAC chair says Trump needs ""a miracle"" to win https://t.co/fAlyl5S03d https://t.co/12UuuWLWBb",FALSE,0,NA,2016-10-18 21:10:03,FALSE,NA,"788487330466295808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TSRHG",90,TRUE,FALSE,NA,NA
"42","Donald Trump calls Playboy/Penthouse model Victoria Zdrok 'third-rate hooker;' denies ever dating https://t.co/LVKaHGgVkS via @houstonchron",FALSE,4,NA,2016-10-18 21:10:03,FALSE,NA,"788487330432679936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SharonJ44257163",9,FALSE,FALSE,NA,NA
"43","RT @bigthink: Calling @realDonaldTrump a 2 yr old is an insult to 2 yr olds, says @AlisonGopnik. Tell us what you think! #BigThink https://…",FALSE,0,NA,2016-10-18 21:10:03,FALSE,NA,"788487329199501312",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Kong47Teh",2,TRUE,FALSE,NA,NA
"44","RT @RobertHarison_0: RT JasonMillerinDC: #draintheswamp ""Donald Trump calls for congressional term limits to end 'cycle of corruption' http…",FALSE,0,NA,2016-10-18 21:10:03,FALSE,NA,"788487328729735168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TexasFatherWins",2,TRUE,FALSE,NA,NA
